#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-10T19:03:50 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-10T19:03:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.add=_1&-c.r=  2&-c.geom=r&-source=I/352/gedr3dis&-order=I&-out.orig=standard&-out=Source&-out=RA_ICRS&-out=DE_ICRS&-out=rgeo&-out=b_rgeo&-out=B_rgeo&-out=rpgeo&-out=b_rpgeo&-out=B_rpgeo&-out=Flag&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	header_format=mini	
#INFO	header_format=mini	

#RESOURCE=yCat_1352
#Name: I/352
#Title: Distances to 1.47 billion stars in Gaia EDR3 (Bailer-Jones+, 2021)
#INFO	ivoid=ivo://cds.vizier/i/352	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/352	    IVOID of underlying data collection
#INFO	creator=Bailer-Jones C.A.L.	    First author or institution
#INFO	cites=bibcode:2021AJ....161..147B	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/352	    Dataset landing page
#INFO	publication_date=2024-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	I_352_gedr3dis:
#Name: I/352/gedr3dis
#Title: Estimating distances from parallaxes (1467744818 sources)
#Column	_1	(A40)	The original question (from your input file)	[ucd=meta.id]
#Column	Source	(I19)	Source identifier, identical to the Gaia-EDR3 source_id (id)	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2016.0 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2016.0 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	rgeo	(F15.8)	? Median of the geometric distance posterior (r_med_geo)	[ucd=pos.distance;stat.mean]
#Column	b_rgeo	(F14.8)	? 16th percentile of the geometric distance posterior (r_lo_geo)	[ucd=pos.distance;stat.min]
#Column	B_rgeo	(F14.8)	? 84th percentile of the geometric distance posterior (r_hi_geo)	[ucd=pos.distance;stat.max]
#Column	rpgeo	(F15.8)	? Median of the photogeometric distance posterior (r_med_photogeo)	[ucd=pos.distance;stat.mean]
#Column	b_rpgeo	(F14.8)	? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)	[ucd=pos.distance;stat.min]
#Column	B_rpgeo	(F14.8)	? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)	[ucd=pos.distance;stat.max]
#Column	Flag	(I5)	Flag (flag) (1)	[ucd=meta.code]
_1	Source	RA_ICRS	DE_ICRS	rgeo	b_rgeo	B_rgeo	rpgeo	b_rpgeo	B_rpgeo	Flag
HD 3712                                 	 418551473602903296	010.09950808006	+56.50894578377	  4470.68604000	 2788.07861000	 7161.20605000	  4345.19238000	 3599.19482000	 5127.83057000	10033
HD 3712                                 	 418551473602907904	010.11009565637	+56.50716708105	  3707.77856000	 2559.89380000	 5286.25293000	  4836.16455000	 4216.78516000	 5846.12158000	10033
HD 3712                                 	 418551473602908928	010.11054899593	+56.50619715368	  1254.45056000	  957.36108400	 1923.98828000	  3847.05591000	 3286.19849000	 4503.31494000	10033
HD 3712                                 	 418551473606759168	010.10727280157	+56.50903858115	  2935.63232000	 1849.27649000	 4678.40918000	  5212.74854000	 4307.45459000	 5997.02441000	10033
HD 3712                                 	 418551507962642560	010.12685843892	+56.51153914345	  2824.04858000	 2108.41846000	 4074.20190000	  2127.56909000	 1770.18860000	 3274.31128000	10033
HD 3712                                 	 418551507962646400	010.11956197931	+56.50817207259	  3217.99414000	 2508.59961000	 4907.51270000	  2603.35986000	 2235.14429000	 3175.55835000	10033
HD 3712                                 	 418551507962653824	010.14179981510	+56.50607815532	  1573.91309000	  943.04730200	 2804.01587000	  3037.15942000	 2714.89429000	 3557.60376000	10033
HD 3712                                 	 418551507963732224	010.13769535616	+56.50775352300	  3065.65625000	 2442.13403000	 4151.39111000	  2747.49683000	 2343.81006000	 3316.10156000	10033
HD 3712                                 	 418551507966497152	010.13119701601	+56.51194710087	  5197.13330000	 3368.96289000	 6658.73730000	  4838.78564000	 4063.97559000	 6104.15723000	10033
HD 3712                                 	 418551507966871168	010.13720751328	+56.50925463949	  2883.66821000	 2369.87769000	 4194.36279000	  2780.25293000	 2380.43750000	 3282.11890000	10033
HD 3712                                 	 418551542322366720	010.12949194109	+56.52485293443	  2165.21680000	  897.96948200	 3916.77222000	  9976.44336000	 1583.85901000	11906.47070000	10133
HD 3712                                 	 418551542322370176	010.12573904780	+56.52109757145	  5071.03564000	 3492.60547000	 7112.43506000	  4623.50879000	 3960.32153000	 5463.06494000	10033
HD 3712                                 	 418551542322371840	010.12373563632	+56.52001177180	  1761.79370000	 1361.58997000	 2683.16577000	               	              	              	10099
HD 3712                                 	 418551542322376064	010.13777355184	+56.51900705301	  2159.46753000	 1596.85181000	 2960.73535000	  3830.58179000	 3270.65186000	 4616.12402000	10033
HD 3712                                 	 418551542322376832	010.13949843848	+56.51724526496	  1090.19507000	  734.44091800	 1829.78601000	  2682.65601000	 2361.26270000	 3167.95728000	10033
HD 3712                                 	 418551542323464960	010.13110162349	+56.52481672214	  1592.88623000	 1112.59216000	 2451.69165000	  4996.14404000	 4305.56494000	 6135.99951000	10033
HD 3712                                 	 418551542323465472	010.13156359903	+56.52374496472	  4236.47363000	 3251.43359000	 7134.21045000	  3303.85498000	 2729.78589000	 3947.91675000	10033
HD 3712                                 	 418551542323467392	010.13548598797	+56.51910311082	  2628.30347000	 1696.63281000	 3835.87793000	  3830.02710000	 3231.05444000	 4861.37256000	10033
HD 3712                                 	 418551542326233088	010.12296434048	+56.51995270069	  2281.43799000	 1952.62061000	 2795.85327000	  2262.49634000	 1868.41748000	 2878.98755000	10033
HD 3712                                 	 418551542326238208	010.14560936214	+56.50841666048	   650.41003400	  645.14849900	  656.56225600	   649.59442100	  643.75476100	  656.45245400	10033
HD 3712                                 	 418551542326239232	010.14755240650	+56.50658782575	  6352.60596000	 5817.69189000	 6922.54443000	  6600.15283000	 5936.71680000	 7266.21045000	10033
HD 3712                                 	 418551542326519296	010.14313919032	+56.51622141924	  3225.49634000	 1937.70068000	 4688.00488000	  4392.31885000	 3827.48169000	 5181.55957000	10033
HD 3712                                 	 418551576682103552	010.10227528751	+56.52263342221	  3528.21289000	 2368.08936000	 7530.89502000	  2757.10083000	 2405.33179000	 3138.10864000	10033
HD 3712                                 	 418551576682103936	010.09792887303	+56.52193433129	  2976.86792000	 1892.31946000	 4540.02637000	  2481.67114000	 2142.04663000	 2812.83594000	10133
HD 3712                                 	 418551576682107136	010.10238357276	+56.51956020784	  3398.90161000	 2267.12866000	 4924.31787000	  6932.32959000	 5814.54443000	 8395.35742000	10033
HD 3712                                 	 418551576682115328	010.11187677231	+56.51398811395	  3181.72632000	 2110.65845000	 4615.08594000	  5752.72510000	 4881.50195000	 6888.13428000	10033
HD 3712                                 	 418551576683203584	010.11348951552	+56.50952006448	  3001.02124000	 1259.79028000	 4637.24219000	  9895.62793000	 8655.91797000	11421.54390000	20033
HD 3712                                 	 418551576683463808	010.11076177006	+56.51819438651	  2422.43701000	 1287.15210000	 3779.06006000	 11567.99900000	10393.46000000	13060.92480000	20033
HD 3712                                 	 418551576685970432	010.09954570368	+56.52092352783	  3513.68530000	 2766.40112000	 4524.69678000	  3162.72607000	 2571.16577000	 3936.33447000	10033
HD 3712                                 	 418551576685970816	010.09320618361	+56.51842506787	  3554.27417000	 2055.35498000	 5824.44775000	  3007.66943000	 2562.95850000	 3593.95435000	10033
HD 3712                                 	 418551576685971328	010.10575297848	+56.51805317922	  4447.71680000	 3946.84619000	 4940.25732000	  4957.34912000	 3837.66504000	 5910.67139000	10133
HD 3712                                 	 418551576685971840	010.10652873513	+56.51618487927	  1538.07886000	 1479.57666000	 1620.96985000	  1519.00989000	 1468.32886000	 1563.21118000	10033
HD 3712                                 	 418551606745356928	010.09641604499	+56.53721554637	  3173.98706000	 1908.62122000	 4548.39941000	 10849.22270000	 9464.95898000	12257.12400000	10033
HD 3712                                 	 418551611041838336	010.10844387207	+56.52630987851	  5451.05420000	 3841.47681000	 7672.18896000	  4502.30029000	 3674.58105000	 5702.77588000	10033
HD 3712                                 	 418551611042932096	010.10079830140	+56.53001113932	   609.30072000	  341.14984100	 1052.80383000	   445.21804800	  286.99142500	  906.54504400	10033
HD 3712                                 	 418551611042934144	010.11065066245	+56.52728494938	  2465.99805000	 1755.27051000	 3711.85034000	  3645.78687000	 3068.51270000	 4324.12695000	10033
HD 3712                                 	 418551611042941056	010.11903349641	+56.51916615223	  2396.64722000	 1409.78601000	 4010.90161000	  6025.66357000	 5246.33936000	 7121.95605000	10033
HD 3712                                 	 418551611043174656	010.11770717920	+56.52695260636	  3178.54468000	 1638.74866000	 5030.84326000	 10886.98050000	 9237.30078000	13400.43260000	10033
HD 3712                                 	 418551611045705088	010.11150060880	+56.53035095441	  2187.13867000	 1454.37427000	 3086.42358000	  4397.43604000	 3555.00195000	 5360.20947000	10033
HD 3712                                 	 418551714121059200	010.15613347828	+56.52726420899	  3259.53491000	 2291.36426000	 5805.64746000	  3889.41162000	 3349.33154000	 4795.83105000	10033
HD 3712                                 	 418551714121060224	010.16278803350	+56.52684085248	  4445.68018000	 3486.67603000	 5613.73389000	  3748.76147000	 3127.64331000	 4553.92236000	10033
HD 3712                                 	 418551714121061632	010.15461347813	+56.52464211437	  4402.88770000	 2116.55591000	 7156.77246000	  6235.45361000	 5378.19092000	 7154.22119000	10033
HD 3712                                 	 418551714121068544	010.17008818282	+56.52122168577	   960.22631800	  727.13452100	 1335.09497000	  1250.33154000	 1063.94177000	 1429.41663000	10033
HD 3712                                 	 418551714121073792	010.17340542786	+56.51656554655	  3184.20215000	 2431.97266000	 4294.32617000	  2201.14844000	 1938.46545000	 2694.76294000	10033
HD 3712                                 	 418551714121075968	010.16705118087	+56.51398803166	  3920.49023000	 2977.32275000	 5605.06934000	  3190.19360000	 2692.39966000	 4005.43311000	10033
HD 3712                                 	 418551714121851136	010.15580388830	+56.52215083494	  1644.14331000	  852.79528800	 4097.76514000	  4875.00879000	 4280.60156000	 5775.73291000	11033
HD 3712                                 	 418551714125301888	010.15514027690	+56.52161067533	  2558.99683000	 1507.24756000	 4077.62085000	               	              	              	20000
HD 3712                                 	 418551748480797696	010.16624893951	+56.52838455410	  3193.86670000	 2413.19434000	 4368.85303000	  3394.21240000	 2845.04565000	 4383.65332000	10033
HD 3712                                 	 418551748480799232	010.17685338812	+56.52809460045	  5770.29004000	 3993.73096000	 8036.40576000	  3514.65649000	 2947.48926000	 4769.57715000	10033
HD 3712                                 	 418551748480800256	010.17065393576	+56.52648419979	  1388.68787000	 1114.33447000	 1826.80835000	  1685.66248000	 1487.74841000	 1882.71912000	10033
HD 3712                                 	 418551748480802560	010.17342972874	+56.52559821224	  2481.77734000	 1668.57825000	 3425.21216000	  4777.43701000	 4148.00244000	 5487.57227000	10033
HD 3712                                 	 418551748480804480	010.17718726116	+56.52482468073	  2226.58472000	 1573.03271000	 3475.73926000	  1534.91809000	 1301.10291000	 1749.00000000	10033
HD 3712                                 	 418551748481899392	010.15911304006	+56.52916423683	  1946.09900000	 1039.09912000	 3308.45972000	  5001.79346000	 4296.80420000	 6005.56396000	10033
HD 3712                                 	 418551748481901184	010.16370613744	+56.52761829753	  2646.58887000	 1720.61365000	 4272.27344000	 11995.01270000	10181.21000000	14084.29690000	10033
HD 3712                                 	 418551748484657536	010.15915250543	+56.53780258125	  2441.01514000	 1452.36743000	 3827.58374000	  3063.87158000	 2696.53174000	 3693.53613000	10033
HD 3712                                 	 418551748484664192	010.18153188569	+56.52386519343	  2512.79248000	 2220.39209000	 2857.05591000	  2354.59009000	 2153.40479000	 2598.70557000	10033
HD 3712                                 	 418551851559993216	010.17653705778	+56.54472157494	  2426.01514000	 1163.53967000	 4138.97998000	  5842.70508000	 5241.09570000	 6836.58154000	10033
HD 3712                                 	 418551851559993344	010.16159644805	+56.54272431804	  2357.32153000	 1588.94507000	 3770.44727000	  4917.96924000	 4033.72559000	 6295.25781000	10033
HD 3712                                 	 418551851559994880	010.18200070471	+56.54426265552	  3988.43042000	 2554.34863000	 5854.80420000	  4552.48730000	 4007.86279000	 5424.14453000	10033
HD 3712                                 	 418551851560001152	010.18619447893	+56.54091047041	  4019.59131000	 2434.46387000	 6031.10645000	  4864.08105000	 4210.14111000	 5682.85889000	10033
HD 3712                                 	 418551851560001536	010.18429810763	+56.54042195299	  2567.74121000	 1617.04004000	 3866.92017000	   997.69696000	  875.89288300	 1129.53760000	10033
HD 3712                                 	 418551851560003968	010.17305253511	+56.53749884885	  3296.44458000	 2489.10938000	 6186.72021000	  3130.19678000	 2621.40283000	 4071.84009000	10033
HD 3712                                 	 418551851560006400	010.18600676911	+56.53640716697	  2840.42358000	 1730.33386000	 4523.33643000	  2464.35693000	 2108.96802000	 3111.29858000	10033
HD 3712                                 	 418551851560011904	010.18490607292	+56.53153592421	  1043.47168000	  556.88085900	 1935.23511000	  1534.91333000	 1338.00671000	 1759.06213000	11033
HD 3712                                 	 418551851561111296	010.16471445867	+56.54970741408	  3958.95312000	 2663.08838000	 6373.46973000	 11740.08200000	10390.09860000	13380.71970000	10033
HD 3712                                 	 418551851563870464	010.16460421532	+56.54655364804	  2969.59106000	 2284.11401000	 3943.43286000	  2620.00635000	 2097.03491000	 3462.14502000	10033
HD 3712                                 	 418551851563872128	010.18352270701	+56.54264877831	  3932.81348000	 2735.56763000	 5955.74316000	  3915.88232000	 3196.80225000	 5889.75977000	10033
HD 3712                                 	 418551885919718656	010.17032368321	+56.55515908531	  2606.40039000	 1357.68945000	 5161.15430000	  5690.95117000	 4990.15381000	 6742.14697000	20033
HD 3712                                 	 418551885919719040	010.16931909464	+56.55366245293	  2063.82129000	 1237.15784000	 3190.93311000	  8331.71680000	 7130.08057000	10192.84080000	10033
HD 3712                                 	 418551885919730304	010.18478322035	+56.54617606839	  3223.60278000	 2617.39380000	 4038.61670000	  3024.81860000	 2466.78540000	 3610.33838000	10033
HD 3712                                 	 418551885920984064	010.16415804408	+56.55434934862	  3215.57471000	 1742.57568000	 5346.89111000	  3614.41211000	 2151.02197000	 8358.37402000	20033
HD 3712                                 	 418551885923609856	010.18298636458	+56.54553492635	  2511.91113000	 2287.28271000	 2795.26221000	  2447.14941000	 2163.07104000	 2812.51660000	10033
HD 3712                                 	 418551920280280704	010.14564465392	+56.53286814467	  1255.24915000	 1020.25891000	 1544.80969000	  1708.06982000	 1480.98206000	 1982.37915000	10033
HD 3712                                 	 418551920280280960	010.14399111809	+56.52851057320	  2619.20166000	 1636.83228000	 3648.75854000	  3873.48315000	 3269.85205000	 4657.49951000	10033
HD 3712                                 	 418551920280585472	010.13143799006	+56.53214752888	  2229.57471000	 1467.44580000	 3599.63525000	  2935.09229000	 2395.47046000	 3587.11987000	10033
HD 3712                                 	 418551920280820352	010.13827965387	+56.52571706509	  4245.62451000	 2827.00195000	 7000.89453000	  3633.46021000	 3128.47437000	 4371.07471000	10033
HD 3712                                 	 418551920283639296	010.14273665169	+56.53521324347	   413.27792400	  410.19863900	  415.75528000	   413.25207500	  410.74429300	  415.62100200	10033
HD 3712                                 	 418551920283762432	010.15111129713	+56.52689806936	  3415.62573000	 1812.91699000	 5120.97119000	  8955.91504000	 7807.37012000	10210.85450000	10033
HD 3712                                 	 418551920284673408	010.12724197930	+56.53718879379	    70.84735110	   68.57784270	   73.49388890	    71.19878390	   68.63439180	   73.86519620	10033
HD 3712                                 	 418551954640317056	010.13239262612	+56.55014963492	   655.70074500	  529.61511200	  886.12457300	   900.26123000	  743.01751700	 1076.23706000	10033
HD 3712                                 	 418551954640756096	010.14584686745	+56.54454284179	  2920.92871000	 1869.55701000	 4582.21240000	  8827.52832000	 7727.28174000	10286.43260000	10033
HD 3712                                 	 418551954643086208	010.14611454629	+56.54237714694	  1204.29883000	 1152.80432000	 1262.77490000	  1197.40625000	 1149.48010000	 1257.74939000	10033
HD 3712                                 	 418551954643088384	010.15464095018	+56.53652071199	  2267.04688000	 2028.82800000	 2540.15649000	  2199.04370000	 2002.96899000	 2449.32397000	10033
HD 3712                                 	 418551954643088512	010.15068714204	+56.53511280954	  2907.12939000	 2516.61133000	 3494.51880000	  2694.24316000	 2436.91235000	 3135.68652000	10033
HD 3712                                 	 418551954643469184	010.14563465683	+56.53933606209	  2888.36621000	 2117.08203000	 4025.15674000	  2204.62280000	 1912.83350000	 2733.24341000	10033
HD 3712                                 	 418551988998933504	010.11009451500	+56.54918714881	  3574.99756000	 2343.40967000	 5041.39893000	  4407.37061000	 3749.70044000	 5401.39844000	10033
HD 3712                                 	 418551988998944512	010.11529185317	+56.53849029973	   912.56848100	  895.87756300	  928.85296600	   910.78204300	  897.78186000	  924.61419700	10033
HD 3712                                 	 418551989000326016	010.11190722230	+56.53588086894	  2700.00879000	 1895.49768000	 3970.56396000	  3720.87671000	 3088.03760000	 4541.18115000	10033
HD 3712                                 	 418551989000352896	010.10781862878	+56.53859890260	  2640.19360000	 1570.19897000	 3840.91650000	  3511.21509000	 3087.82690000	 4217.45410000	10033
HD 3712                                 	 418551989003238528	010.11181620543	+56.54348947745	  1613.47998000	  784.10107400	 2687.22070000	  4457.02148000	 3828.17334000	 5395.50342000	10033
HD 3712                                 	 418551989004150272	010.11702943007	+56.53334761282	  1732.26245000	 1624.71155000	 1860.84961000	  1694.44836000	 1599.19202000	 1819.89905000	10033
HD 3712                                 	 418552023358642176	010.10437104240	+56.56470333493	  2829.02417000	 2029.81763000	 4248.13525000	  2234.44556000	 1949.35437000	 2569.60571000	10033
HD 3712                                 	 418552023358646016	010.10841219905	+56.56096727934	  4979.18164000	 3429.90015000	 7390.69629000	               	              	              	10099
HD 3712                                 	 418552023358646144	010.10901515213	+56.56110713753	  3554.04712000	 2893.97363000	 4623.80615000	  3503.35840000	 2906.87915000	 4240.56836000	10033
HD 3712                                 	 418552023358646400	010.10302422961	+56.55995539669	  5078.44580000	 3441.02808000	 8157.10547000	  3610.14331000	 2956.77173000	 4896.00049000	10033
HD 3712                                 	 418552023358648192	010.11425771028	+56.55872501264	  3099.69287000	 2165.98657000	 4689.97900000	  6448.02930000	 5449.57520000	 7658.22217000	10033
HD 3712                                 	 418552023358668800	010.10981217285	+56.55186836191	  1868.53345000	 1227.49756000	 2773.65283000	  1717.17200000	 1546.13574000	 1987.40564000	10033
HD 3712                                 	 418552023358672000	010.13067434045	+56.55149987457	  3849.48169000	 1882.36707000	 5500.80273000	  5347.82959000	 4717.12500000	 6454.29346000	10033
HD 3712                                 	 418552023359787776	010.10403240549	+56.56115684496	  1711.03027000	  836.77850300	 2859.56274000	 11256.02640000	 9894.54102000	12616.43850000	10033
HD 3712                                 	 418552023359792640	010.12329675094	+56.54833637577	  2497.14111000	 1980.08435000	 3300.15332000	  2367.90234000	 2073.54150000	 2797.85815000	10033
HD 3712                                 	 418552023359792896	010.12763683769	+56.55152417039	  2561.24927000	 2123.73120000	 3155.46899000	  2648.07739000	 2253.59058000	 3032.31689000	10033
HD 3712                                 	 418552023362558976	010.10071533533	+56.55432007142	  1443.91406000	 1052.42041000	 2050.50244000	  3418.09375000	 2979.98975000	 4098.08691000	10033
HD 3712                                 	 418552023362559872	010.10771200947	+56.55290863985	  1485.52747000	 1406.99072000	 1549.83398000	  1500.22620000	 1425.38696000	 1597.44519000	10033
HD 3712                                 	 418552023364001536	010.11917999840	+56.55171339331	  2379.84180000	 1181.40088000	 4180.06738000	  4605.45898000	 4035.61841000	 5625.07373000	10033
HD 3712                                 	 418552023364001920	010.12159871350	+56.54898251313	  2319.62280000	 1182.65100000	 4358.62451000	  7263.54443000	 6037.59814000	 8529.56348000	10033
HD 3712                                 	 418552057718387456	010.14292063227	+56.56196112297	  3890.68579000	 2149.23779000	 5729.98584000	 10275.96190000	 8963.92773000	12074.73240000	10033
HD 3712                                 	 418552057718388736	010.14088439558	+56.56041167799	  1995.05396000	 1034.15723000	 3861.24438000	  1988.48694000	 1728.20081000	 2391.46143000	10033
